local_file,storage_path,kind,title,creator,rights_status,visibility,content_type,source_url,notes
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_10_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/011-prayer-the-music-of-praise.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Music of Praise,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_10_spurgeon_64kb.mp3; catalog duration 00:09:01; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_10_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_11_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/012-prayer-under-the-blood.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Under the Blood,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_11_spurgeon_64kb.mp3; catalog duration 00:09:42; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_11_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_12_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/013-prayer-on-holy-ground.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- On Holy Ground,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_12_spurgeon_64kb.mp3; catalog duration 00:09:26; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_12_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_13_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/014-prayer-the-wings-of-prayer.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Wings of Prayer,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_13_spurgeon_64kb.mp3; catalog duration 00:09:18; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_13_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_14_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/015-prayer-bless-the-lord-o-my-soul.mp3,Audiobook,"C. H. Spurgeon's Prayers - Prayer -- 'Bless the Lord, O my Soul!'",C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_14_spurgeon_64kb.mp3; catalog duration 00:09:13; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_14_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_15_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/016-prayer-the-peace-of-god.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Peace of God,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_15_spurgeon_64kb.mp3; catalog duration 00:08:26; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_15_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_16_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/017-prayer-he-ever-liveth.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- He Ever Liveth,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_16_spurgeon_64kb.mp3; catalog duration 00:08:02; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_16_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_17_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/018-prayer-to-be-like-christ.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- To be like Christ,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_17_spurgeon_64kb.mp3; catalog duration 00:09:11; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_17_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_18_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/019-prayer-o-for-more-grace.mp3,Audiobook,"C. H. Spurgeon's Prayers - Prayer -- O, for More Grace!",C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_18_spurgeon_64kb.mp3; catalog duration 00:07:43; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_18_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_19_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/020-prayer-god-s-unspeakable-gift.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- God's Unspeakable Gift,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_19_spurgeon_64kb.mp3; catalog duration 00:08:13; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_19_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_20_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/021-prayer-the-great-sacrifice.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Great Sacrifice,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_20_spurgeon_64kb.mp3; catalog duration 00:10:13; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_20_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_21_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/022-prayer-boldness-at-the-throne-of-grace.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Boldness at the Throne of Grace,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_21_spurgeon_64kb.mp3; catalog duration 00:08:57; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_21_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_22_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/023-prayer-the-presence-of-god.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Presence of God,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_22_spurgeon_64kb.mp3; catalog duration 00:12:08; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_22_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_23_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/024-prayer-the-look-of-faith.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Look of Faith,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_23_spurgeon_64kb.mp3; catalog duration 00:07:05; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_23_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_24_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/025-prayer-deliver-us-from-evil.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- 'Deliver us from Evil',C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_24_spurgeon_64kb.mp3; catalog duration 00:08:53; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_24_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_25_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/026-prayer-the-washing-of-water-by-the-word.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- The Washing of Water by the Word,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_25_spurgeon_64kb.mp3; catalog duration 00:10:07; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_25_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_26_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/027-prayer-prayer-answered-and-unanswered.mp3,Audiobook,C. H. Spurgeon's Prayers - Prayer -- Prayer Answered and Unanswered,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_26_spurgeon_64kb.mp3; catalog duration 00:10:27; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_26_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
/tmp/bible-study-audio-pilot/spurgeon-prayers/prayers_27_spurgeon_64kb.mp3,audio/audiobooks/spurgeon/prayers/librivox/028-sermon-the-golden-key-of-prayer.mp3,Audiobook,C. H. Spurgeon's Prayers - Sermon -- The Golden Key of Prayer,C. H. Spurgeon; LibriVox reader MaryAnn,Public Domain,Private admin draft,audio/mpeg,https://librivox.org/prayers-by-charles-h-spurgeon/,LibriVox source file prayers_27_spurgeon_64kb.mp3; catalog duration 00:42:25; reader MaryAnn. Section-level transcript anchor pending OCR cleanup. Source file https://www.archive.org/download/prayers_2107_librivox/prayers_27_spurgeon_64kb.mp3. Upload only after file is downloaded from LibriVox/Internet Archive and spot-checked against the catalog page.
