rank,priority_tier,resource_kind,usefulness_score,title,author,year,category,collection,source_url,download_url,public_domain_status,commercial_use_status,rights_basis,recommended_use,file_path,word_count,reading_hours_estimate,work_group_key,edition_or_volume_count
1,Tier 1 - core beta study library,Commentary,1490,Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2,Ernst Wilhelm Hengstenberg and Theodore Meyer,2009,Commentaries,Commentary,https://www.gutenberg.org/ebooks/30608,https://www.gutenberg.org/ebooks/30608.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/30608.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/christology-of-the-old-testament-and-a-commentary-on-the-messianic-predictions-vol-2-ernst-wilhelm-hengstenber.txt,200869,22.3,christology of the old testament and a commentary on the messianic predictions|ernst wilhelm hengstenberg and theodore meyer,1
17,Tier 1 - core beta study library,Commentary,1425,The Prophet Ezekiel: An Analytical Exposition,"Gaebelein, Arno Clemens",2011,Commentaries,Commentary,https://www.gutenberg.org/ebooks/36857,https://www.gutenberg.org/ebooks/36857.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/36857.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-prophet-ezekiel-an-analytical-exposition-gaebelein-arno-clemens.txt,121057,13.5,the prophet ezekiel an analytical exposition|gaebelein arno clemens,1
18,Tier 1 - core beta study library,Commentary,1410,Lectures on the Book of Revelation,H. A. Ironside,1920,Commentaries,Ironside Collection,https://archive.org/details/lecturesonbookof0000hair_v6a5,https://archive.org/download/lecturesonbookof0000hair_v6a5/lecturesonbookof0000hair_v6a5_djvu.txt,verified,verified_allowed_public_domain,Internet Archive scan dated 1920. Publication before 1929; public domain in the United States. Avoid later reprint editions unless separately reviewed.,"Use as a secondary expository voice for Revelation after the KJV text, cross references, and other reviewed commentary.",data/library/verified/lectures-on-the-book-of-revelation-h-a-ironside.txt,94184,10.5,lectures on the book of revelation|h a ironside,1
19,Tier 1 - core beta study library,Commentary,1410,"Notes on the Book of Deuteronomy, Volume I","Mackintosh, Charles Henry",2012,Commentaries,Commentary,https://www.gutenberg.org/ebooks/41571,https://www.gutenberg.org/ebooks/41571.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/41571.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-book-of-deuteronomy-volume-i-mackintosh-charles-henry.txt,120960,13.4,notes on the book of deuteronomy|mackintosh charles henry,1
20,Tier 1 - core beta study library,Commentary,1410,Notes on the book of Exodus,"Mackintosh, Charles Henry",2012,Commentaries,Commentary,https://www.gutenberg.org/ebooks/40596,https://www.gutenberg.org/ebooks/40596.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/40596.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-book-of-exodus-mackintosh-charles-henry.txt,104344,11.6,notes on the book of exodus|mackintosh charles henry,1
21,Tier 1 - core beta study library,Commentary,1410,Notes on the Book of Genesis,"Mackintosh, Charles Henry",2011,Commentaries,Commentary,https://www.gutenberg.org/ebooks/37915,https://www.gutenberg.org/ebooks/37915.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/37915.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-book-of-genesis-mackintosh-charles-henry.txt,94534,10.5,notes on the book of genesis|mackintosh charles henry,1
22,Tier 1 - core beta study library,Commentary,1410,Notes on the Book of Leviticus,"Mackintosh, Charles Henry",2012,Commentaries,Commentary,https://www.gutenberg.org/ebooks/40610,https://www.gutenberg.org/ebooks/40610.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/40610.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-book-of-leviticus-mackintosh-charles-henry.txt,108419,12.0,notes on the book of leviticus|mackintosh charles henry,1
23,Tier 1 - core beta study library,Commentary,1410,Notes on the book of Numbers,"Mackintosh, Charles Henry",2025,Commentaries,Commentary,https://www.gutenberg.org/ebooks/76552,https://www.gutenberg.org/ebooks/76552.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/76552.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-book-of-numbers-mackintosh-charles-henry.txt,131102,14.6,notes on the book of numbers|mackintosh charles henry,1
24,Tier 1 - core beta study library,Commentary,1410,Notes on the Minor Prophets,H. A. Ironside,2026,Commentaries,Ironside,https://archive.org/download/notesonminorprop0000hair_o4r2/notesonminorprop0000hair_o4r2_djvu.txt,https://archive.org/download/notesonminorprop0000hair_o4r2/notesonminorprop0000hair_o4r2_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonminorprop0000hair_o4r2/notesonminorprop0000hair_o4r2_djvu.txt.,Early Ironside Old Testament prophetic exposition for teaching prep and comparison.,data/library/verified/notes-on-the-minor-prophets-h-a-ironside.txt,110547,12.3,notes on the minor prophets|h a ironside,1
25,Tier 1 - core beta study library,Commentary,1410,"Notes on the New Testament, Explanatory and Practical: Revelation",Albert Barnes and Robert Frew,2017,Commentaries,Commentary,https://www.gutenberg.org/ebooks/55228,https://www.gutenberg.org/ebooks/55228.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/55228.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/notes-on-the-new-testament-explanatory-and-practical-revelation-albert-barnes-and-robert-frew.txt,392089,43.6,notes on the new testament explanatory and practical revelation|albert barnes and robert frew,1
26,Tier 1 - core beta study library,Commentary,1410,The Preacher's Complete Homiletic Commentary on Galatians through Thessalonians,George Barlow,2020,Commentaries,Preaching & Teaching,https://www.gutenberg.org/ebooks/62148,https://www.gutenberg.org/ebooks/62148.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/62148.,Public-domain homiletic commentary for epistle teaching.,data/library/verified/the-preacher-s-complete-homiletic-commentary-on-galatians-through-thessalonians-george-barlow.txt,403781,44.9,the preacher s complete homiletic commentary on galatians through thessalonians|george barlow,1
27,Tier 1 - core beta study library,Commentary,1410,"The Preacher's Complete Homiletic Commentary on Isaiah, Volume 1",Robert Aitkin Bertram and Alfred Tucker,2018,Commentaries,Preaching & Teaching,https://www.gutenberg.org/ebooks/58062,https://www.gutenberg.org/ebooks/58062.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/58062.,Public-domain homiletic commentary for sermon preparation.,data/library/verified/the-preacher-s-complete-homiletic-commentary-on-isaiah-volume-1-robert-aitkin-bertram-and-alfred-tucker.txt,454597,50.5,the preacher s complete homiletic commentary on isaiah|robert aitkin bertram and alfred tucker,1
28,Tier 1 - core beta study library,Commentary,1410,The Preacher's Complete Homiletic Commentary on Proverbs,Rev. W. Harris,2019,Commentaries,Preaching & Teaching,https://www.gutenberg.org/ebooks/58767,https://www.gutenberg.org/ebooks/58767.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,Verified. Source reviewed from https://www.gutenberg.org/ebooks/58767.,Public-domain homiletic commentary for preaching and teaching.,data/library/verified/the-preacher-s-complete-homiletic-commentary-on-proverbs-rev-w-harris.txt,548463,60.9,the preacher s complete homiletic commentary on proverbs|rev w harris,1
29,Tier 1 - core beta study library,Commentary,1410,The Sermon on the Mount: A Practical Exposition,"Gore, Charles",2018,Commentaries,Commentary,https://www.gutenberg.org/ebooks/57722,https://www.gutenberg.org/ebooks/57722.txt.utf-8,verified,verified_allowed_with_project_gutenberg_terms,verified public domain. Source reviewed from https://www.gutenberg.org/ebooks/57722.,Public-domain commentary or exposition for secondary study after reading Scripture.,data/library/verified/the-sermon-on-the-mount-a-practical-exposition-gore-charles.txt,61079,6.8,the sermon on the mount a practical exposition|gore charles,1
30,Tier 1 - core beta study library,Commentary,1395,Lectures on the Epistle to the Colossians,H. A. Ironside,2026,Commentaries,Ironside,https://archive.org/download/lecturesonepistl0000hiro/lecturesonepistl0000hiro_djvu.txt,https://archive.org/download/lecturesonepistl0000hiro/lecturesonepistl0000hiro_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonepistl0000hiro/lecturesonepistl0000hiro_djvu.txt.,Early Ironside exposition for teaching and devotional study after the Bible text.,data/library/verified/lectures-on-the-epistle-to-the-colossians-h-a-ironside.txt,44874,5.0,lectures on the epistle to the colossians|h a ironside,1
31,Tier 1 - core beta study library,Commentary,1395,Notes on the Book of Esther,H. A. Ironside,1905,Commentaries,Ironside Collection,https://archive.org/download/notesonbookofest0000iron/notesonbookofest0000iron_djvu.txt,https://archive.org/download/notesonbookofest0000iron/notesonbookofest0000iron_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonbookofest0000iron/notesonbookofest0000iron_djvu.txt.,Ironside notes for Esther study and sermon preparation. OCR text should be spot-checked before quotation or public teaching use.,data/library/verified/notes-on-the-book-of-esther-h-a-ironside.txt,30060,3.3,notes on the book of esther|h a ironside,1
32,Tier 1 - core beta study library,Commentary,1385,An Exposition of the Book of Isaiah,William Kelly,1916,Commentaries,William Kelly Collection,https://archive.org/download/bwb_P9-EGA-318/bwb_P9-EGA-318_djvu.txt,https://archive.org/download/bwb_P9-EGA-318/bwb_P9-EGA-318_djvu.txt,verified,verified_allowed_public_domain,"Published in 1916, before the current U.S. public-domain cutoff for 2026. Direct Internet Archive OCR text from item bwb_P9-EGA-318 imported with source-edition review and OCR spot-check labels.","Isaiah exposition for commentary comparison, prophecy study, and teaching preparation.",data/library/verified/an-exposition-of-the-book-of-isaiah-william-kelly.txt,185704,20.6,an exposition of the book of isaiah|william kelly,1
33,Tier 1 - core beta study library,Commentary,1385,Lectures on the book of Isaiah,"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonbooko00kell/lecturesonbooko00kell_djvu.txt,https://archive.org/download/lecturesonbooko00kell/lecturesonbooko00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonbooko00kell/lecturesonbooko00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-book-of-isaiah-kelly-william-1821-1906.txt,110871,12.3,lectures on the book of isaiah|kelly william 1821 1906,1
34,Tier 1 - core beta study library,Commentary,1385,Lectures on the Book of Revelation,"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonbookof00kell/lecturesonbookof00kell_djvu.txt,https://archive.org/download/lecturesonbookof00kell/lecturesonbookof00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonbookof00kell/lecturesonbookof00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-book-of-revelation-kelly-william-1821-1906.txt,223181,24.8,lectures on the book of revelation|kelly william 1821 1906,1
35,Tier 1 - core beta study library,Commentary,1385,Lectures on the Book of Revelation,William Kelly,1871,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonbook00kell/lecturesonbook00kell_djvu.txt,https://archive.org/download/lecturesonbook00kell/lecturesonbook00kell_djvu.txt,verified,verified_allowed_public_domain,"Internet Archive item lecturesonbook00kell lists possible copyright status NOT_IN_COPYRIGHT. Bibliographic records identify William Kelly, W. H. Broom, 1871. Direct IA OCR text imported for beta reading with use-with-discernment labels.",Historical brethren exposition for Revelation study and commentary comparison; review wording before using doctrinally.,data/library/verified/lectures-on-the-book-of-revelation-william-kelly.txt,251055,27.9,lectures on the book of revelation|william kelly,1
36,Tier 1 - core beta study library,Commentary,1385,Lectures on the Epistle of Paul the apostle to the Ephesians [microform],"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/MN41979ucmf_7/MN41979ucmf_7_djvu.txt,https://archive.org/download/MN41979ucmf_7/MN41979ucmf_7_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/MN41979ucmf_7/MN41979ucmf_7_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-epistle-of-paul-the-apostle-to-the-ephesians-microform-kelly-william-1821-1906.txt,117612,13.1,lectures on the epistle of paul the apostle to the ephesians microform|kelly william 1821 1906,1
37,Tier 1 - core beta study library,Commentary,1385,"Lectures on the Epistle of Paul, the Apostle, to the Galatians : with a new translation..","Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonepistl00kell/lecturesonepistl00kell_djvu.txt,https://archive.org/download/lecturesonepistl00kell/lecturesonepistl00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonepistl00kell/lecturesonepistl00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-epistle-of-paul-the-apostle-to-the-galatians-with-a-new-translation-kelly-william-1821-1906.txt,67172,7.5,lectures on the epistle of paul the apostle to the galatians with a new translation|kelly william 1821 1906,1
38,Tier 1 - core beta study library,Commentary,1385,Lectures on the New Testament doctrine of the Holy Spirit,"Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/lecturesonnewtes00kell/lecturesonnewtes00kell_djvu.txt,https://archive.org/download/lecturesonnewtes00kell/lecturesonnewtes00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/lecturesonnewtes00kell/lecturesonnewtes00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/lectures-on-the-new-testament-doctrine-of-the-holy-spirit-kelly-william-1821-1906.txt,115227,12.8,lectures on the new testament doctrine of the holy spirit|kelly william 1821 1906,1
39,Tier 1 - core beta study library,Commentary,1385,Notes on the Book of Daniel,William Kelly,2026,Commentaries,William Kelly,https://archive.org/download/notesonbookofdan00kell/notesonbookofdan00kell_djvu.txt,https://archive.org/download/notesonbookofdan00kell/notesonbookofdan00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonbookofdan00kell/notesonbookofdan00kell_djvu.txt.,Public-domain Daniel notes for comparison after reading the KJV passage.,data/library/verified/notes-on-the-book-of-daniel-william-kelly.txt,86253,9.6,notes on the book of daniel|william kelly,1
40,Tier 1 - core beta study library,Commentary,1385,"Notes on the Epistle of Paul, the apostle, to the Romans : with a new translation","Kelly, William, 1821-1906",2026,Commentaries,William Kelly Collection,https://archive.org/download/notesonepistleof00kell/notesonepistleof00kell_djvu.txt,https://archive.org/download/notesonepistleof00kell/notesonepistleof00kell_djvu.txt,verified,verified_allowed_public_domain,verified public domain. Source reviewed from https://archive.org/download/notesonepistleof00kell/notesonepistleof00kell_djvu.txt.,William Kelly Bible exposition for commentary comparison and teaching preparation. OCR text should be spot-checked before quotation.,data/library/verified/notes-on-the-epistle-of-paul-the-apostle-to-the-romans-with-a-new-translation-kelly-william-1821-1906.txt,125827,14.0,notes on the epistle of paul the apostle to the romans with a new translation|kelly william 1821 1906,1
