priority,title,author_or_ministry,resource_type,shareable_category,source_url,rights_status,approved_public_use,not_approved_without_followup,review_status,recommended_use,notes
29,Charismatic Confusion,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine and discernment,"Review for doctrinal notes and pastoral tone."
30,Tongues Speaking,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine and discernment,"Potential doctrine comparison resource."
31,Is Healing in the Atonement?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine and discernment,"Review doctrine and Scripture handling."
32,17 Reasons Why I Left the Tongues Movement,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine and testimony,"Review for testimony/resource placement."
33,The Bible and Islam,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Apologetics and world religions,"Good apologetics candidate with careful wording."
35,Jehovah's Witnesses,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Apologetics and false religions,"Good quick-reference candidate if reviewed."
36,Mormonism,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Apologetics and false religions,"Good quick-reference candidate if reviewed."
37,Roman Catholicism: Past and Present,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Apologetics and church history,"Review tone and app category before listing."
38,Is the Catholic Church Changing?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Apologetics and church history,"Review alongside other Catholicism resources."
39,Was Mother Teresa a True Christian?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment,"Sensitive topic; review for public tone and placement."
40,Billy Graham and Rome,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church history and discernment,"Sensitive topic; review for accuracy and tone."
41,Billy Graham's Sad Disobedience,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church history and discernment,"Sensitive topic; review for accuracy and tone."
42,New Evangelicalism: Its History Characteristics and Fruit,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church history and discernment,"High-value background candidate if reviewed."
43,The Emerging Church Is Coming,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment,"Review currency and relevance."
44,Evangelicals and Contemplative Prayer,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Prayer and discernment,"Review for prayer-path placement."
45,The God of End-time Mysticism,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment,"Review before recommendation."
46,End Time Confusion: The International House of Prayer,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Prophecy and discernment,"Review for doctrine notes."
47,The Ape Men,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Creation and apologetics,"Creation/apologetics candidate."
48,Archaeological Dating Methods,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Archaeology and apologetics,"Useful for apologetics shelf if reviewed."
49,Darwin's Social Influence,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Creation and worldview,"Review for history/source quality."
50,Lying Evolutionary Art,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Creation and apologetics,"Review for image/chart rights if any."
51,Scientists Who Believe the Bible,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Creation and apologetics,"Could be useful in apologetics path."
52,The Bible and Diet,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Christian living,"Review before health-related placement."
53,Beware of Ayurvedic Medicine,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Christian living and discernment,"Review carefully for health claims and pastoral wording."
54,New Age Health Care,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Christian living and discernment,"Review carefully for health claims and pastoral wording."
55,Do We Have the Right to Die?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Ethics and Christian living,"Sensitive topic; review before public listing."
56,Cremation: What Does God Think?,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Ethics and Christian living,"Sensitive pastoral topic; review before recommendation."
57,Child Discipline,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Family and parenting,"Sensitive family topic; review before placement."
58,Television and the Christian Home,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Family and Christian living,"Good family/discernment candidate if reviewed."
59,The Mobile Home and the Christian Home and Church,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Family and Christian living,"Likely mobile phone topic; verify exact title/page before listing."
60,Fantasy Dangers,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Family and discernment,"Review tone and current relevance."
61,Dangers in Christian Bookstores,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment,"Could help explain resource vetting philosophy after review."
62,Directory of Contemporary Worship Musicians,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Worship and music,"Review currentness before listing."
63,C.S. Lewis and Evangelicals Today,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment and authors,"Useful for author-vetting examples if reviewed."
64,John Piper and Christian Hedonism,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Discernment and theology,"Sensitive modern-author topic; review before listing."
65,In Essentials Unity,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church doctrine and discernment,"Review before recommendation."
66,Purpose Driven or Scripture Driven,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church and ministry discernment,"Review currentness and tone."
67,The Path from Independent Baptist to Rome The Shack and Beyond,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church and doctrinal discernment,"Sensitive topic; review before listing."
68,United Nations and the New Age,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Worldview and discernment,"Review currentness and app placement."
69,William Branham's Bogus Healings,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Doctrine and discernment,"Review before listing."
70,World Council of Churches,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Church history and discernment,"Review for historical currentness."
71,Why Most Independent Baptists Will Be Emerging within 20 Years,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist church issues,"Review currentness and usefulness."
72,The Hyles Effect: A Spreading Blight,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist history and church issues,"Sensitive topic; review before public listing."
73,The Old Highland Park Baptist Church,David Cloud / Way of Life Literature,Free ebook,free eBook,https://www.wayoflife.org/reports/way_of_life_literatures_free_ebook.html,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable ebook review","Store item import; paid edition import; full app hosting before item review; AI/TTS/subscription rights",Needs title-level review,Baptist history,"History candidate after review."
74,Way of Life audio sermons,David Cloud / Way of Life Literature,Audio sermons,audio sermons,https://www.wayoflife.org/audiosermons/,Shareable policy documented - item review required,"Official metadata; citation; official link; possible SermonAudio link","Audio hosting in app; transcript import; AI/TTS; paid access; offline redistribution",Needs item-level audio review,Audio sermon shelf and study passage recommendations,"Official audio page points users to SermonAudio broadcaster wayoflife; review individual sermon pages before adding."
75,O Timothy Magazine,David Cloud / Way of Life Literature,Magazine,O Timothy magazine,https://www.wayoflife.org/reports/o-timothy-magazine.php,Shareable policy documented - item review required,"Official metadata; citation; source link; shareable magazine review","Paid mailed subscriptions; cover reuse beyond policy; AI/TTS/subscription rights",Needs issue/article-level review,Discernment and current issues shelf,"Online graphical PDF version is identified as free; review issue/article level before app display."
