score,title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use,year,archive_identifier,source_group,downloads
165,"The Biblical illustrator; or, Anecdotes, similes, emblems, illustrations : expository, scientific, georgraphical, historical, and homiletic, gathered from a wide range of home and foreign literature, on the verses of the Bible (biblicalillustra55exel)","Exell, Joseph S. (Joseph Samuel), 1849-; Peachey, T. F",https://archive.org/download/biblicalillustra55exel/biblicalillustra55exel_djvu.txt,Commentaries,Biblical Illustrator,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1905,biblicalillustra55exel,Biblical Illustrator,1362
120,The pulpit commentary (cu31924101104820),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104820/cu31924101104820_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104820,Pulpit Commentary,1890
120,The pulpit commentary (cu31924101104861),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104861/cu31924101104861_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104861,Pulpit Commentary,1862
120,The pulpit commentary (cu31924101105074),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101105074/cu31924101105074_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101105074,Pulpit Commentary,1844
120,The pulpit commentary (cu31924101104754),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104754/cu31924101104754_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104754,Pulpit Commentary,1784
120,The pulpit commentary (cu31924101104796),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104796/cu31924101104796_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104796,Pulpit Commentary,1774
120,The pulpit commentary (cu31924101104689),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104689/cu31924101104689_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104689,Pulpit Commentary,1658
120,The pulpit commentary (cu31924098499506),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924098499506/cu31924098499506_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924098499506,Pulpit Commentary,1619
120,The pulpit commentary (cu31924101104887),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104887/cu31924101104887_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104887,Pulpit Commentary,1588
120,The pulpit commentary (cu31924101105116),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101105116/cu31924101105116_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101105116,Pulpit Commentary,1583
120,The pulpit commentary (cu31924101104481),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104481/cu31924101104481_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104481,Pulpit Commentary,1535
120,The pulpit commentary (cu31924101104879),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104879/cu31924101104879_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104879,Pulpit Commentary,1527
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet20newy),Various,https://archive.org/download/preacherscomplet20newy/preacherscomplet20newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet20newy,Preacher Homiletical,1497
120,The pulpit commentary (cu31924101104978),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101104978/cu31924101104978_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101104978,Pulpit Commentary,1495
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet16newy),Various,https://archive.org/download/preacherscomplet16newy/preacherscomplet16newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet16newy,Preacher Homiletical,1340
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet19newy),Various,https://archive.org/download/preacherscomplet19newy/preacherscomplet19newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet19newy,Preacher Homiletical,1335
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet05newy),Various,https://archive.org/download/preacherscomplet05newy/preacherscomplet05newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet05newy,Preacher Homiletical,1276
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet04newy),Various,https://archive.org/download/preacherscomplet04newy/preacherscomplet04newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet04newy,Preacher Homiletical,1267
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet17newy),Various,https://archive.org/download/preacherscomplet17newy/preacherscomplet17newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet17newy,Preacher Homiletical,1216
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet21newy),Various,https://archive.org/download/preacherscomplet21newy/preacherscomplet21newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet21newy,Preacher Homiletical,1178
120,The pulpit commentary (cu31924101105041),"Spence-Jones, H. D. M. (Henry Donald Maurice), 1836-1917",https://archive.org/download/cu31924101105041/cu31924101105041_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1890,cu31924101105041,Pulpit Commentary,1144
120,The Preacher's complete homiletical commentary on the Old Testament : (on an original plan) (preacherscomple00unkngoog),Various,https://archive.org/download/preacherscomple00unkngoog/preacherscomple00unkngoog_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomple00unkngoog,Preacher Homiletical,1117
120,The Preacher's complete homiletical commentary : (on an original plan). (preacherscomplet18newy),Various,https://archive.org/download/preacherscomplet18newy/preacherscomplet18newy_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet18newy,Preacher Homiletical,1095
120,The Preacher's complete homiletical commentary on the Bible (preacherscomplet0027unse),Various,https://archive.org/download/preacherscomplet0027unse/preacherscomplet0027unse_djvu.txt,Commentaries,Preacher's Homiletical Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1892,preacherscomplet0027unse,Preacher Homiletical,757
120,The pulpit commentary (pulpitcommentar00unkngoog),"Spence-Jones, Henry Donald Maurice, Dean of Gloucester, formerly Spence",https://archive.org/download/pulpitcommentar00unkngoog/pulpitcommentar00unkngoog_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1880,pulpitcommentar00unkngoog,Pulpit Commentary,705
120,The Pulpit Commentary (1897) (in.ernet.dli.2015.1256),Spence Very Rev. H. D. M.,https://archive.org/download/in.ernet.dli.2015.1256/in.ernet.dli.2015.1256_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1897,in.ernet.dli.2015.1256,Pulpit Commentary,641
120,The pulpit commentary (pulpitcommentar03unkngoog),"Spence-Jones, Henry Donald Maurice, Dean of Gloucester, formerly Spence",https://archive.org/download/pulpitcommentar03unkngoog/pulpitcommentar03unkngoog_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1880,pulpitcommentar03unkngoog,Pulpit Commentary,422
120,The Pulpit Commentary (1897) (in.ernet.dli.2015.236846),Spence Very Rev. H. D. M.,https://archive.org/download/in.ernet.dli.2015.236846/in.ernet.dli.2015.236846_djvu.txt,Commentaries,Pulpit Commentary,verified public domain,reviewed,Use with discernment;OCR spot-check,Public-domain commentary or homiletical reference for Bible study and teaching preparation. OCR text should be spot-checked before quotation.,1897,in.ernet.dli.2015.236846,Pulpit Commentary,410
