title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"The Poetical Works of John and Charles Wesley, Vol. 10","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj10wesl/poeticalworksofj10wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 11","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj11wesl/poeticalworksofj11wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 12","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj12wesl/poeticalworksofj12wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Poetical Works of John and Charles Wesley, Vol. 13","John Wesley; Charles Wesley",https://archive.org/download/poeticalworksofj0013wesl/poeticalworksofj0013wesl_djvu.txt,Classics,Wesley Hymns and Poetry,verified public domain,reviewed,Historical hymn collection; OCR spot-check needed before quotation,"Use for Charles Wesley hymn and poetry study with historical perspective."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 16","John Wesley",https://archive.org/download/worksofrevjohnwe16wesl/worksofrevjohnwe16wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 17","John Wesley",https://archive.org/download/worksofrevjohnwe17wesl/worksofrevjohnwe17wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 18","John Wesley",https://archive.org/download/worksofrevjohnwe18wesl/worksofrevjohnwe18wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 19","John Wesley",https://archive.org/download/worksofrevjohnwe19wesl/worksofrevjohnwe19wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 20","John Wesley",https://archive.org/download/worksofrevjohnwe20wesl/worksofrevjohnwe20wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 21","John Wesley",https://archive.org/download/worksofrevjohnwe21wesl/worksofrevjohnwe21wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 22","John Wesley",https://archive.org/download/worksofrevjohnwe22wesl/worksofrevjohnwe22wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 23","John Wesley",https://archive.org/download/worksofrevjohnwe23wesl/worksofrevjohnwe23wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 24","John Wesley",https://archive.org/download/worksofrevjohnwe24wesl/worksofrevjohnwe24wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 25","John Wesley",https://archive.org/download/worksofrevjohnwe25wesl/worksofrevjohnwe25wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 26","John Wesley",https://archive.org/download/worksofrevjohnwe26wesl/worksofrevjohnwe26wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 27","John Wesley",https://archive.org/download/worksofrevjohnwe27wesl/worksofrevjohnwe27wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 28","John Wesley",https://archive.org/download/worksofrevjohnwe28wesl/worksofrevjohnwe28wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 29","John Wesley",https://archive.org/download/worksofrevjohnwe29wesl/worksofrevjohnwe29wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 30","John Wesley",https://archive.org/download/worksofrevjohnwe30wesl/worksofrevjohnwe30wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 31","John Wesley",https://archive.org/download/worksofrevjohnwe31wesl/worksofrevjohnwe31wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
"The Works of the Rev. John Wesley, 1771 Edition, Vol. 32","John Wesley",https://archive.org/download/worksofrevjohnwe32wesl/worksofrevjohnwe32wesl_djvu.txt,Classics,John Wesley Collection,verified public domain,reviewed,Historical Methodist perspective; OCR spot-check needed before quotation,"Use for Wesley primary-source study and historical theology with discernment."
