"title","author","category","collection","source_url","source_type","rights_status","review_status","duplicate_check_status","doctrinal_status","warning_label","recommended_use","notes","next_action"
"The Biblical Illustrator - Romans volume","Joseph S. Exell and contributors","Commentaries","Biblical Illustrator","https://archive.org/search?query=%22Biblical+Illustrator%22+Romans","Archive search","Needs exact volume review","Needs Review","No Biblical Illustrator import yet","Needs doctrinal review","Use with discernment","Candidate for teaching helps, not primary commentary.","","Stage one small sample after rights review."
"International Standard Bible Encyclopedia","James Orr and contributors","Bible encyclopedias","Bible Tools","https://archive.org/search?query=%22International+Standard+Bible+Encyclopaedia%22+1915","Archive search","Likely public domain for 1915 edition; exact source required","Needs Review","Check no existing duplicate","Needs doctrinal review","Use with discernment","Large reference work; verify edition and text structure before import.","","Create dictionary/encyclopedia parser plan."
"Hastings' Dictionary of the Bible","James Hastings and contributors","Bible dictionaries","Bible Tools","https://archive.org/search?query=%22Hastings%27+Dictionary+of+the+Bible%22","Archive search","Needs exact edition review","Needs Review","Check no existing duplicate","Needs doctrinal review","Use with discernment","Valuable but may include critical scholarship; labels required.","","Review edition and doctrinal warning before queue."
"A Dictionary of the Bible","William Smith","Bible dictionaries","Bible Tools","https://www.gutenberg.org/ebooks/search/?query=smith+dictionary+bible","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Smith's dictionary may already exist","Reviewed for category only","Use with discernment","Use only if not duplicating existing Smith resource.","","Audit current dictionary card first."
"Cyclopedia of Biblical, Theological, and Ecclesiastical Literature","John McClintock and James Strong","Bible encyclopedias","Bible Tools","https://archive.org/search?query=%22Cyclopedia+of+Biblical%2C+Theological%2C+and+Ecclesiastical+Literature%22","Archive search","Needs exact volume review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Large multi-volume work; import only after chunking/search plan.","","Review one volume and define dictionary/encyclopedia route."
"History of the Baptists","Thomas Armitage","Baptist History","Baptist History Collection","https://archive.org/search?query=%22History+of+the+Baptists%22+Armitage","Archive search","Needs exact source review","Needs Review","Check existing Baptist history shelf","Reviewed for category only","Baptist history","Strong Baptist history candidate if source is clean.","","Verify edition and stage as library book."
"A Short History of the Baptists","Henry C. Vedder","Baptist History","Baptist History Collection","https://archive.org/search?query=%22A+Short+History+of+the+Baptists%22+Vedder","Archive search","Needs exact source review","Needs Review","Check existing Baptist history shelf","Reviewed for category only","Baptist history","Useful overview; verify edition and reuse terms.","","Add to acquisition queue, not public library."
"The Baptist Encyclopaedia","William Cathcart","Baptist History","Baptist History Collection","https://archive.org/search?query=%22Baptist+Encyclopaedia%22+Cathcart","Archive search","Needs exact source review","Needs Review","Check no duplicate","Reviewed for category only","Baptist history","Important Baptist reference but large and old; needs careful metadata.","","Verify source and build entry/chunk plan."
"The Trail of Blood","J. M. Carroll","Baptist History","Baptist History Collection","https://archive.org/search?query=%22Trail+of+Blood%22+Carroll","Archive search","Rights and doctrinal review required","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Requested theme fit, but must be labeled and rights-checked before import.","","Do not import until edition and rights are documented."
"Memoir of William Carey","Eustace Carey","Missions","Missions Collection","https://archive.org/search?query=%22Memoir+of+William+Carey%22+Eustace+Carey","Archive search","Needs exact source review","Needs Review","Check existing Carey resources","Reviewed for category only","Historical value","Missions biography candidate.","","Verify exact text source and duplicate status."
"Life of William Carey","George Smith","Missions","Missions Collection","https://www.gutenberg.org/ebooks/search/?query=william+carey+george+smith","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Check existing Carey resources","Reviewed for category only","Historical value","Useful missions biography if not already represented.","","Choose exact ebook/source and validate."
"Memoirs of the Life and Labours of Robert Morrison","Eliza A. Morrison","Missions","Missions Collection","https://archive.org/search?query=%22Robert+Morrison%22+missionary+memoirs","Archive search","Needs exact source review","Needs Review","Check no duplicate","Reviewed for category only","Historical value","Missions biography candidate.","","Verify edition, source text quality, and rights."
"The Life of David Brainerd","Jonathan Edwards","Missions","Missions Collection","https://www.gutenberg.org/ebooks/search/?query=David+Brainerd","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Check existing Brainerd resources","Reviewed for category only","Use with discernment","High-value missionary/devotional biography; avoid duplicate edition.","","Audit existing missions shelf, then select exact source."
"Hudson Taylor and the China Inland Mission","Dr. and Mrs. Howard Taylor","Missions","Missions Collection","https://archive.org/search?query=%22Hudson+Taylor+and+the+China+Inland+Mission%22","Archive search","Needs exact source review","Needs Review","Existing Hudson Taylor resources present","Reviewed for category only","Historical value","Useful if rights/source and duplicate status are clean.","","Review edition before candidate import."
"The Life of John Bunyan","Edmund Venables","Biographies","Classics Collection","https://www.gutenberg.org/ebooks/search/?query=John+Bunyan+life","Project Gutenberg search","Candidate only; exact ebook required","Needs Review","Check Bunyan shelf duplicates","Reviewed for category only","Historical value","Biography support for Bunyan collection.","","Pick exact non-duplicate source."
"A History of Preaching","Edwin Charles Dargan","Preaching & Teaching","Preaching Collection","https://archive.org/search?query=%22A+History+of+Preaching%22+Dargan","Archive search","Needs exact source review","Needs Review","Check no duplicate","Reviewed for category only","Historical value","Teaching/preaching background resource.","","Verify source and stage if rights are clear."
"Homiletics and Pastoral Theology","William G. T. Shedd","Preaching & Teaching","Preaching Collection","https://archive.org/search?query=%22Homiletics+and+Pastoral+Theology%22+Shedd","Archive search","Needs exact source review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Preaching/teaching helps candidate.","","Review doctrinal notes and edition before import."
"The Training of the Twelve","A. B. Bruce","Bible study helps","Teaching Collection","https://archive.org/search?query=%22The+Training+of+the+Twelve%22+Bruce","Archive search","Needs exact source review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Potential discipleship/teaching resource.","","Verify source and labels before import."
"The Life and Times of Jesus the Messiah","Alfred Edersheim","Bible handbooks","Bible Tools","https://archive.org/search?query=%22Life+and+Times+of+Jesus+the+Messiah%22+Edersheim","Archive search","Needs exact source review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Background resource; useful but must be labeled carefully.","","Review edition, rights, and category fit."
"Sketches of Jewish Social Life","Alfred Edersheim","Bible handbooks","Bible Tools","https://archive.org/search?query=%22Sketches+of+Jewish+Social+Life%22+Edersheim","Archive search","Needs exact source review","Needs Review","Check no duplicate","Needs doctrinal review","Use with discernment","Bible background resource.","","Verify source and duplicate status."
"Manners and Customs of Bible Lands","Fred H. Wight","Bible handbooks","Bible Tools","https://archive.org/search?query=%22Manners+and+Customs+of+Bible+Lands%22","Archive search","Likely copyrighted modern editions; permission likely needed","Permission Needed","Do not public import","Needs doctrinal review","Use with discernment","Useful but likely not public-domain; track only.","","Do not import publicly without written permission."
"Matthew Poole's Commentary / English Annotations","Matthew Poole","Commentaries","Poole Commentary","https://archive.org/search?query=%22Matthew+Poole%22+commentary","Archive search","Needs exact source and edition review","Needs Review","No Poole import yet","Needs doctrinal review","Use with discernment","Candidate commentary voice only; avoid modern edited copies and unclear sites.","","Find original public-domain source, document edition, and stage one sample chapter."
"The Pulpit Commentary - Isaiah volume","Various","Commentaries","Pulpit Commentary","https://archive.org/search?query=%22Pulpit+Commentary%22+Isaiah","Archive search","Needs exact volume review","Needs Review","No Pulpit import yet","Needs doctrinal review","Use with discernment","Potential teaching comparison for prophetic books; large and verbose.","","Verify exact source and test parser on Isaiah 53 only."
"The Biblical Illustrator - Isaiah volume","Joseph S. Exell and contributors","Commentaries","Biblical Illustrator","https://archive.org/search?query=%22Biblical+Illustrator%22+Isaiah","Archive search","Needs exact volume review","Needs Review","No Biblical Illustrator import yet","Needs doctrinal review","Use with discernment","Potential illustration source for preaching, not primary commentary.","","Verify exact volume and stage a small reviewed sample."
"The Treasury of Scripture Knowledge expansion audit","R. A. Torrey / TSK tradition","Cross References","Bible Tools","https://archive.org/search?query=%22Treasury+of+Scripture+Knowledge%22","Archive search","Needs exact edition review","Needs Review","Check existing TSK samples","Reviewed for category only","Bible study help","High-value cross-reference tool; expand only from clean source data.","","Compare available source structures and import reviewed samples by passage."
"Foxe's Acts and Monuments full edition review","John Foxe","Martyrs / Persecuted Church","Persecuted Church Collection","https://archive.org/search?query=%22Acts+and+Monuments%22+Foxe","Archive search","Needs exact edition review","Needs Review","Foxe's Book of Martyrs already imported","Reviewed for category only","Historical value","Use only if materially different from existing Foxe public-domain text and source is clean.","","Audit existing Foxe card before any expansion."
"Martyrs Mirror edition review","Thieleman J. van Braght","Martyrs / Persecuted Church","Persecuted Church Collection","https://www.gutenberg.org/ebooks/65855","Project Gutenberg ebook","Likely verified via Project Gutenberg if not already imported","Needs Review","Check duplicate against existing verified file","Needs doctrinal review","Use with discernment","Important martyr history resource; confirm existing import and avoid duplicate cards.","","Audit current Library and merge metadata rather than duplicate."
"Baptist History of the English Baptists","Joseph Ivimey","Baptist History","Baptist History Collection","https://archive.org/search?query=%22History+of+the+English+Baptists%22+Ivimey","Archive search","Needs exact source review","Needs Review","Check Baptist history shelf duplicates","Reviewed for category only","Baptist history","Strong Baptist history candidate if edition and source are clean.","","Choose exact volume and stage metadata first."
"A History of the Welsh Baptists","Jonathan Davis","Baptist History","Baptist History Collection","https://archive.org/search?query=%22History+of+the+Welsh+Baptists%22","Archive search","Needs exact source review","Needs Review","Check Baptist history shelf duplicates","Reviewed for category only","Baptist history","Possible Baptist history addition after source review.","","Verify author, edition, and source text quality."
"Which Bible? / modern KJV defense placeholder","Various modern authors","KJV / Textual Issues","KJV Defense Collection","Admin permission tracker only","Planning placeholder","Likely copyrighted modern editions; permission required","Permission Needed","Do not public import","Needs doctrinal review","KJV defense","Track modern KJV-defense resources for possible permission requests, not public import.","","Keep in permission tracker until written rights exist."
"Dean Burgon textual criticism works audit","John William Burgon","KJV / Textual Issues","KJV Defense Collection","https://archive.org/search?query=%22John+William+Burgon%22+textual","Archive search","Needs exact source review","Needs Review","Check existing Burgon/Scrivener resources","Needs doctrinal review","Use with discernment","Potential public-domain textual issue material; review edition and fit carefully.","","Choose exact title and verify before import."
