title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Evangelists of Art: Picture-Sermons for Children,James Patrick,https://www.gutenberg.org/ebooks/30220,Preaching & Teaching,Preaching & Teaching,verified public domain,reviewed,,"Preaching and teaching help for illustrations, exposition, and lesson preparation."
Christology of the Old Testament: And a Commentary on the Messianic Predictions. Vol. 2,Ernst Wilhelm Hengstenberg and Theodore Meyer,https://www.gutenberg.org/ebooks/30608,Commentaries,Commentary,verified public domain,reviewed,,Public-domain commentary or exposition for secondary study after reading Scripture.
"Epistle Sermons, Vol. 3: Trinity Sunday to Advent",Martin Luther and John Nicholas Lenker,https://www.gutenberg.org/ebooks/30619,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
The American Church Dictionary and Cyclopedia,William James 1850- Miller,https://www.gutenberg.org/ebooks/30888,Dictionaries,Bible Dictionaries,verified public domain,reviewed,Use with discernment,"Reference work for definitions, places, names, or historical background."
The Church Handy Dictionary,Anonymous,https://www.gutenberg.org/ebooks/31165,Dictionaries,Bible Dictionaries,verified public domain,reviewed,Use with discernment,"Reference work for definitions, places, names, or historical background."
"Medica Sacra Or, A Commentary on the Most Remarkable Diseases Mentioned in the Holy Scriptures",Richard Mead and Thomas Stack,https://www.gutenberg.org/ebooks/31203,Dictionaries,Bible Dictionaries,verified public domain,reviewed,,"Reference work for definitions, places, names, or historical background."
The Christian View of the Old Testament,Frederick Carl Eiselen,https://www.gutenberg.org/ebooks/31876,Surveys,Bible Surveys,verified public domain,reviewed,,Bible survey resource for whole-book and whole-Bible understanding.
Misread Passages of Scriptures,James Baldwin Brown,https://www.gutenberg.org/ebooks/33515,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
The Messiah in Moses and the Prophets,Eleazar Lord,https://www.gutenberg.org/ebooks/34680,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
Walks and Words of Jesus: A Paragraph Harmony of the Four Evangelists,M. N. Olmsted and Randolph S. Foster,https://www.gutenberg.org/ebooks/35674,Surveys,Bible Surveys,verified public domain,reviewed,,Bible survey resource for whole-book and whole-Bible understanding.
Studies in Old Testament History,Jesse Lyman Hurlbut,https://www.gutenberg.org/ebooks/36444,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
"A Plain Introduction to the Criticism of the New Testament, Vol. I.",Frederick Henry Ambrose Scrivener,https://www.gutenberg.org/ebooks/36548,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,Use with discernment; KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
A Greek Primer: For Beginners in New Testament Greek,Wallace N. 1866- Stearns,https://www.gutenberg.org/ebooks/39292,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
The Expositor's Bible: Index,S. G. Ayres and Walter F. Adeney,https://www.gutenberg.org/ebooks/39819,Bible study helps,Bible Study Essentials,verified public domain,reviewed,,"Bible study help for background, doctrine, and teaching preparation."
Bible Atlas: A Manual of Biblical Geography and History,Jesse Lyman Hurlbut and John Heyl Vincent,https://www.gutenberg.org/ebooks/41140,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
A Brief Bible History: A Survey of the Old and New Testaments,James Oscar Boyd and J. Gresham Machen,https://www.gutenberg.org/ebooks/43533,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
Systematic Theology (Volume 1 of 3),Augustus Hopkins Strong,https://www.gutenberg.org/ebooks/44035,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
Systematic Theology (Volume 2 of 3),Augustus Hopkins Strong,https://www.gutenberg.org/ebooks/44555,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
Systematic Theology (Volume 3 of 3),Augustus Hopkins Strong,https://www.gutenberg.org/ebooks/45283,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"Jesus, The Messiah; or, the Old Testament Prophecies Fulfilled in the New Testament Scriptures, by a Lady",Anonymous,https://www.gutenberg.org/ebooks/44119,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
"Story of the Bible Animals A Description of the Habits and Uses of every living Creature mentioned in the Scriptures, with Explanation of Passages in the Old and New Testament in which Reference is made to them",J. G. Wood,https://www.gutenberg.org/ebooks/44685,Surveys,Bible Surveys,verified public domain,reviewed,,Bible survey resource for whole-book and whole-Bible understanding.
Institutes of the Christian Religion (Vol. 1 of 2),Jean Calvin and John Allen,https://www.gutenberg.org/ebooks/45001,Christian Living,Bible Doctrine,verified public domain,reviewed,Use with discernment,Bible doctrine and Christian living resource for careful study and teaching preparation.
"The Supernatural in the New Testament, Possible, Credible, and Historical Or, An Examination of the Validity of Some Recent Objections Against Christianity as a Divine Revelation",C. A. Row,https://www.gutenberg.org/ebooks/46630,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
Evening Incense,John R. Macduff,https://www.gutenberg.org/ebooks/50916,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
The Little Child's Book of Divinity or Grandmamma's Stories about Bible Doctrines,John R. Macduff,https://www.gutenberg.org/ebooks/52001,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
"Notes on the New Testament, Explanatory and Practical: Revelation",Albert Barnes and Robert Frew,https://www.gutenberg.org/ebooks/55228,Commentaries,Commentary,verified public domain,reviewed,,Public-domain commentary or exposition for secondary study after reading Scripture.
"Twenty-four Discourses On Some of the Important and Interesting Truths, Duties, and Institutions, of the Gospel, and the General Excellency of the Christian Religion; Calculated for the People of God of Every Communion, Particularly for the Benefit of Pious Families, and the Instruction of All in the Things Which Concern Their Salvation",Nathan Perkins,https://www.gutenberg.org/ebooks/57823,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
The Nature of a Gospel Church A Confession of Evangelical Principles; and the Members' Covenant. Intended for the Use of the Church of Christ.,J. ? Church,https://www.gutenberg.org/ebooks/58014,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
A Few Remarks on the Scripture History of Saul and the Witch of Endor,J. ? Church,https://www.gutenberg.org/ebooks/58017,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"A Body of Divinity, Vol. 1 (of 4) Wherein the doctrines of the Christian religion are explained and defended, being the substance of several lectures on the Assembly's Larger Catechism",Thomas Ridgley and James P. Wilson,https://www.gutenberg.org/ebooks/59133,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
"A Body of Divinity, Vol. 2 (of 4) Wherein the doctrines of the Christian religion are explained and defended, being the substance of several lectures on the Assembly's Larger Catechism",Thomas Ridgley and James P. Wilson,https://www.gutenberg.org/ebooks/62149,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
"A Body of Divinity, Vol. 4 (of 4) Wherein the doctrines of the Christian religion are explained and defended, being the substance of several lectures on the Assembly's Larger Catechism",Thomas Ridgley and James P. Wilson,https://www.gutenberg.org/ebooks/65484,Christian Living,Bible Doctrine,verified public domain,reviewed,,Bible doctrine and Christian living resource for careful study and teaching preparation.
The Standard Manual for Baptist Churches,Edward T. Hiscox,https://www.gutenberg.org/ebooks/61084,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
A Class-Book of Old Testament History,G. F. Maclear,https://www.gutenberg.org/ebooks/63528,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
A Class-Book of New Testament History,G. F. Maclear,https://www.gutenberg.org/ebooks/65247,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
"The Song of Songs Translated from the Original Hebrew, with a Commentary, Historical and Critical",Christian D. Ginsburg,https://www.gutenberg.org/ebooks/69329,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
Bible history and brief outline of church history,Volrath Vogt and Nils Christian Nilsen Brun,https://www.gutenberg.org/ebooks/71231,Bible Handbooks,Bible Handbooks,verified public domain,reviewed,,"Book background, Bible geography, or chapter survey help for study preparation."
"Names and places in the Old and New Testament and Apocrypha, with their modern identifications",George Armstrong and C. R. Conder,https://www.gutenberg.org/ebooks/73117,Dictionaries,Bible Dictionaries,verified public domain,reviewed,,"Reference work for definitions, places, names, or historical background."
An illustrated commentary on the Gospel according to St. John,Lyman Abbott,https://www.gutenberg.org/ebooks/75543,Commentaries,Commentary,verified public domain,reviewed,Use with discernment,Public-domain commentary or exposition for secondary study after reading Scripture.
Introduction to the textual criticism of the Greek New Testament,Eberhard Nestle and Allan Menzies,https://www.gutenberg.org/ebooks/76224,Bible study helps,KJV / Textual Issues,verified public domain,reviewed,Use with discernment; KJV / Textual Issues; Historical value,Historical Bible study or textual-issues resource; use for background with doctrinal care.
New Forces in Old China: An Inevitable Awakening,Arthur Judson Brown,https://www.gutenberg.org/ebooks/1675,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"God's Answers A Record of Miss Annie Macpherson's Work at the Home of Industry, Spitalfields, London, and in Canada",Clara M. S. Lowe,https://www.gutenberg.org/ebooks/6713,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Home Missions in Action,Edith H. Allen,https://www.gutenberg.org/ebooks/8427,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Daughters of the Cross: or Woman's Mission,Daniel C. Eddy,https://www.gutenberg.org/ebooks/8579,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Woman and Her Saviour in Persia By a Returned Missionary,Thomas Laurie,https://www.gutenberg.org/ebooks/8699,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
White Queen of the Cannibals: the Story of Mary Slessor of Calabar,A. J. Bueltmann,https://www.gutenberg.org/ebooks/10022,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Forty Years in South China: The Life of Rev. John Van Nest Talmage, D.D.",John Gerardus Fagg,https://www.gutenberg.org/ebooks/11754,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Clara A. Swain, M.D.",Robert Mrs. 1837- Hoskins,https://www.gutenberg.org/ebooks/14017,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
With the Harmony to Labrador Notes of a visit to the Moravian mission stations on the north-east coast of Labrador,Benjamin La Trobe,https://www.gutenberg.org/ebooks/15190,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Journal of a Voyage from Okkak, on the Coast of Labrador, to Ungava Bay, Westward of Cape Chudleigh Undertaken to Explore the Coast, and Visit the Esquimaux in That Unknown Region",B. G. Kohlmeister and Georg Kmoch,https://www.gutenberg.org/ebooks/15436,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Old Daniel,Thomas Hodson,https://www.gutenberg.org/ebooks/23123,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
The Choctaw Freedmen and the Story of Oak Hill Industrial Academy,Robert Elliott 1846- Flickinger,https://www.gutenberg.org/ebooks/23321,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Have We No Rights? A frank discussion of the ""rights"" of missionaries",Mabel Williamson,https://www.gutenberg.org/ebooks/24528,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Thoughts on Missions,Sheldon Dibble,https://www.gutenberg.org/ebooks/26062,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Letters on the Nicobar islands, their natural productions, and the manners, customs, and superstitions of the natives with an account of an attempt made by the Church of the United Brethren, to convert them to Christianity",Johann Gottfried Haensel and Christian Ignatius Latrobe,https://www.gutenberg.org/ebooks/26781,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
The Fulfilment of a Dream of Pastor Hsi's The Story of the Work in Hwochow,Mildred Cable,https://www.gutenberg.org/ebooks/27243,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"India's Problem, Krishna or Christ",John P. Jones,https://www.gutenberg.org/ebooks/27270,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
A Tour of the Missions: Observations and Conclusions,Augustus Hopkins Strong,https://www.gutenberg.org/ebooks/27452,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"India, Its Life and Thought",John P. Jones,https://www.gutenberg.org/ebooks/28117,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
The Minute Man on the Frontier,William George Puddefoot,https://www.gutenberg.org/ebooks/40783,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Memoirs of the Life and Labours of the Rev. Samuel Marsden, of Paramatta, Senior Chaplain of New South Wales; and of His Early Connexion with the Missions to New Zealand and Tahiti",Samuel Marsden and J. B. Marsden,https://www.gutenberg.org/ebooks/41258,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Changing China,William Gascoyne-Cecil and Florence Mary Bootle-Wilbraham Lady Cecil,https://www.gutenberg.org/ebooks/41878,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"The Gist of Japan: The Islands, Their People, and Missions",R. B. 1868- Peery,https://www.gutenberg.org/ebooks/42304,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Mary and I: Forty Years with the Sioux,Stephen Return Riggs,https://www.gutenberg.org/ebooks/42806,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Chinese Diamonds for the King of Kings,Rosalind Goforth,https://www.gutenberg.org/ebooks/43514,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Silver Chimes in Syria: Glimpses of a Missionary's Experiences,William S. Nelson,https://www.gutenberg.org/ebooks/44122,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"A plain and faithful narrative of the original design, rise, progress and present state of the Indian charity-school at Lebanon, in Connecticut",Eleazar Wheelock,https://www.gutenberg.org/ebooks/46378,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Fifteen Years Among the Top-Knots; Or, Life in Korea",Lillias H. 1851- Underwood,https://www.gutenberg.org/ebooks/50609,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Report of Mr. Wood's Visit to the Choctaw and Cherokee Missions. 1855,George W. Wood,https://www.gutenberg.org/ebooks/50734,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
Five Years in the Alleghanies,Jonathan Cross,https://www.gutenberg.org/ebooks/52697,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"Twice-born Men in America or, The Psychology of Conversion as Seen by a Christian Psychologist in Rescue Mission Work",Harriet Earhart Monroe,https://www.gutenberg.org/ebooks/53014,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"John Black, the Apostle of the Red River Or, How the Blue Banner Was Unfurled on Manitoba Prairies",George Bryce,https://www.gutenberg.org/ebooks/53576,Missions,Missions Biographies,verified public domain,reviewed,Historical value,"Missions biography and history for examples, context, and burden for evangelism and prayer."
"The Baptist Magazine, Vol. 27, January, 1835",Various and George Wightman,https://www.gutenberg.org/ebooks/30769,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"The Baptist Magazine, Vol. 27, 1835",Various and George Wightman,https://www.gutenberg.org/ebooks/37583,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"The Baptist Magazine, Vol. 27, 1835",Various and George Wightman,https://www.gutenberg.org/ebooks/40252,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"The Baptist Magazine, Vol. 27, June 1835",Various and George Wightman,https://www.gutenberg.org/ebooks/40542,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
A History of the Reformation (Vol. 1 of 2),Thomas M. Lindsay,https://www.gutenberg.org/ebooks/40615,Christian Living,Church History,verified public domain,reviewed,Use with discernment,Church history resource for historical context; compare doctrinal claims with Scripture.
A History of the Reformation (Vol. 2 of 2),Thomas M. Lindsay,https://www.gutenberg.org/ebooks/40798,Christian Living,Church History,verified public domain,reviewed,Use with discernment,Church history resource for historical context; compare doctrinal claims with Scripture.
A Baptist Abroad: Travels and Adventures of Europe and all Bible Lands,Walter Andrew Whittle,https://www.gutenberg.org/ebooks/50879,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"Rubble and Roseleaves, and Things of That Kind",Frank Boreham,https://www.gutenberg.org/ebooks/59180,Bible study helps,Bible Study Essentials,verified public domain,reviewed,,"Bible study help for background, doctrine, and teaching preparation."
"Life of Charles T. Walker, D.D. (""The Black Spurgeon"") Pastor Mt. Olivet Baptist Church, New York City",Silas Xavier Floyd and Robert Stuart MacArthur,https://www.gutenberg.org/ebooks/65081,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"A Sketch of Charles T. Walker, D.D., Pastor of Tabernacle Baptist Church, Augusta, Ga.",Silas Xavier Floyd,https://www.gutenberg.org/ebooks/65480,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"The Bloody Theatre, or Martyrs Mirror of the Defenseless Christians who baptized only upon confession of faith, and who suffered and died for the testimony of Jesus, their savior, from the time of Christ to the year A.D. 1660",Thieleman J. van Braght and Joseph F. Sohm,https://www.gutenberg.org/ebooks/65855,Christian Living,Church History,verified public domain,reviewed,Use with discernment,Church history resource for historical context; compare doctrinal claims with Scripture.
An historical sketch of the First Hillsboro Baptist Church,W. Camp,https://www.gutenberg.org/ebooks/75602,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
"One hundred years with the Baptists of Amherst, N.S., 1810 to 1910",D. A. Steele and Grace McLeod Rogers,https://www.gutenberg.org/ebooks/75713,Baptist History,Baptist History,verified public domain,reviewed,Baptist history,Baptist history or Baptist theology resource for historical study and teaching illustrations.
Children's Edition of Touching Incidents and Remarkable Answers to Prayer,S. B. 1854- Shaw,https://www.gutenberg.org/ebooks/7026,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
The value of a praying mother,Isabel C. Byrum,https://www.gutenberg.org/ebooks/12042,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
A Short Method of Prayer,Jeanne Marie Bouvier de la Motte Guyon,https://www.gutenberg.org/ebooks/24989,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment,"Prayer reading for personal devotion, church prayer, and teaching application."
How I Know God Answers Prayer: The Personal Testimony of One Life-Time,Rosalind Goforth,https://www.gutenberg.org/ebooks/26033,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
The Prayers of St. Paul,W. H. Griffith Thomas,https://www.gutenberg.org/ebooks/30389,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
"Morning and Evening Prayers for All Days of the Week Together With Confessional, Communion, and Other Prayers and Hymns for Mornings and Evenings, and Other Occasions",Johann Habermann and Emil H. Rausch,https://www.gutenberg.org/ebooks/34994,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
"Health, Healing, and Faith",Russell H. Conwell,https://www.gutenberg.org/ebooks/36891,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment,"Prayer reading for personal devotion, church prayer, and teaching application."
Praying for Money,Russell H. Conwell,https://www.gutenberg.org/ebooks/36899,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment,"Prayer reading for personal devotion, church prayer, and teaching application."
In Answer to Prayer,William Boyd Carpenter and Theodore L. Cuyler,https://www.gutenberg.org/ebooks/37501,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
"Prisons and Prayer; Or, a Labor of Love",Elizabeth Ryder 1844- Wheaton,https://www.gutenberg.org/ebooks/41720,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
Prayers of the Middle Ages: Light from a Thousand Years,J. Manning 1895- Potts,https://www.gutenberg.org/ebooks/48242,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment,"Prayer reading for personal devotion, church prayer, and teaching application."
The Double Search: Studies in Atonement and Prayer,Rufus M. Jones,https://www.gutenberg.org/ebooks/61771,Prayer,Prayer Classics,verified public domain,reviewed,Use with discernment,"Prayer reading for personal devotion, church prayer, and teaching application."
Prayer for the oppressed,James A. Thome and Albert Barnes,https://www.gutenberg.org/ebooks/70704,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
The model prayer,J. D. Jones,https://www.gutenberg.org/ebooks/70953,Prayer,Prayer Classics,verified public domain,reviewed,,"Prayer reading for personal devotion, church prayer, and teaching application."
