title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
"Commenting and Commentaries","C. H. Spurgeon",https://archive.org/download/cu31924031176252/cu31924031176252_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Preaching and study resource for evaluating commentaries, building lessons, and sermon preparation."
"Second Series of Lectures to My Students","C. H. Spurgeon",https://archive.org/download/secondseriesofle00spuruoft/secondseriesofle00spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Substantial preaching and pastoral training resource for sermon preparation and ministry development."
"Morning by Morning","C. H. Spurgeon",https://archive.org/download/morningbymornin00spurgoog/morningbymornin00spurgoog_djvu.txt,Prayer,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Daily devotional readings for prayer, spiritual encouragement, and listening."
"The Gospel of the Kingdom","C. H. Spurgeon",https://archive.org/download/cu31924029340720/cu31924029340720_djvu.txt,Commentaries,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Popular exposition of Matthew for Gospel study, teaching, and commentary comparison."
"Christ in the Old Testament","C. H. Spurgeon",https://archive.org/download/christinoldtesta00spur/christinoldtesta00spur_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Sermons on Old Testament foreshadowings of Christ for preaching and teaching support."
"Daily Help","C. H. Spurgeon",https://archive.org/download/dailyhelp00spur/dailyhelp00spur_djvu.txt,Christian Living,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Short devotional selections for daily reading, listening, prayer, and sermon illustration."
"My Sermon Notes: Matthew to Acts","C. H. Spurgeon",https://archive.org/download/mysermonnotes00spuruoft/mysermonnotes00spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Sermon outlines, anecdotes, and illustrations for teachers and preachers."
"My Sermon Notes: Genesis to Proverbs","C. H. Spurgeon",https://archive.org/download/sermonnotesasele01spuruoft/sermonnotesasele01spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Sermon outlines, anecdotes, and illustrations for teachers and preachers."
"John Ploughman's Talk","C. H. Spurgeon",https://archive.org/download/johnploughmansta00spur/johnploughmansta00spur_djvu.txt,Christian Living,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Plain practical Christian living resource with illustrations useful for teaching and sermon application."
"C. H. Spurgeon's Prayers","C. H. Spurgeon",https://archive.org/download/chspurgeonspraye00spur/chspurgeonspraye00spur_djvu.txt,Prayer,Spurgeon Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Prayer resource for devotional reading, public prayer helps, and sermon preparation."
"Holiness, the False and the True","H. A. Ironside",https://archive.org/download/holinessfalsetru00iron/holinessfalsetru00iron_djvu.txt,Christian Living,H. A. Ironside Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Ironside teaching resource for holiness, assurance, and doctrinal comparison with Scripture."
"The Only Two Religions, and Other Gospel Papers","H. A. Ironside",https://archive.org/download/cihm_66028/cihm_66028_djvu.txt,Evangelism,H. A. Ironside Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Gospel papers for evangelism, teaching, and doctrinal comparison."
"Notes on the Epistle to the Philippians","H. A. Ironside",https://archive.org/download/notesonepistleto0000iron/notesonepistleto0000iron_djvu.txt,Commentaries,H. A. Ironside Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Epistle exposition for teaching, sermon preparation, and commentary comparison."
"The Mormon's Mistake; or, What Is the Gospel?","H. A. Ironside",https://archive.org/download/mormonsmistakeor00iron/mormonsmistakeor00iron_djvu.txt,Evangelism,H. A. Ironside Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Gospel tract resource for evangelism and apologetics with Scripture-first review."
"Six Lectures on Fundamental Truths Connected with the Church of God","William Kelly",https://archive.org/download/sixlecturesonfu00kellgoog/sixlecturesonfu00kellgoog_djvu.txt,Bible study helps,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Doctrinal Bible study resource for careful comparison and teaching preparation."
"In the Beginning and the Adamic Earth","William Kelly",https://archive.org/download/inbeginningandad0000will/inbeginningandad0000will_djvu.txt,Bible study helps,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Genesis exposition and doctrinal study resource for teachers and serious Bible students."
"An Exposition of the Book of Isaiah","William Kelly",https://archive.org/download/bwb_P9-EGA-318/bwb_P9-EGA-318_djvu.txt,Commentaries,William Kelly Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Isaiah exposition for commentary comparison, prophecy study, and teaching preparation."
"The Secret of Guidance","F. B. Meyer",https://archive.org/download/secretofguidance0000fbme/secretofguidance0000fbme_djvu.txt,Christian Living,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Christian living and guidance resource for devotional reading and sermon application."
"Expository Preaching: Plans and Methods","F. B. Meyer",https://archive.org/download/bwb_P7-EEC-931/bwb_P7-EEC-931_djvu.txt,Preaching & Teaching,F. B. Meyer Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Preaching method resource for lesson preparation, sermon planning, and teaching workflow."
"The New Topical Text Book","R. A. Torrey",https://archive.org/download/newtopicaltextbo0000rato_c4y7/newtopicaltextbo0000rato_c4y7_djvu.txt,Topical Bible,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Topical Bible study tool for sermon preparation, teaching, and Scripture lookup support."
"Difficulties in the Bible","R. A. Torrey",https://archive.org/download/difficultiesinbi0000rato/difficultiesinbi0000rato_djvu.txt,KJV / Textual Issues,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Bible difficulties and apologetics resource for careful study, teaching, and sermon support."
"Real Salvation and Whole-Hearted Service","R. A. Torrey",https://archive.org/download/realsalvationwho0000rato_k8a4/realsalvationwho0000rato_k8a4_djvu.txt,Evangelism,R. A. Torrey Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Evangelistic and discipleship resource for Gospel teaching and sermon application."
"Prayer and Praying Men","E. M. Bounds",https://archive.org/download/in.ernet.dli.2015.158422/2015.158422.Prayer-And-Praying-Men_djvu.txt,Prayer,E. M. Bounds Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Prayer classic for devotional reading, listening, and ministry burden."
"The Necessity of Prayer","E. M. Bounds","https://archive.org/download/x-necessity-prayer/x necessity prayer_djvu.txt",Prayer,E. M. Bounds Collection,verified public domain,reviewed,Use with discernment;OCR spot-check,"Prayer classic for devotional reading, listening, and ministry burden."
