title,author,source_url,category,collection,rights_status,doctrinal_status,warning_label,recommended_use
Studies of Great Bible Characters,Henry T. Sell,https://archive.org/download/studiesofgreatbi00sell_0/studiesofgreatbi00sell_0_djvu.txt,Bible study helps,Bible Characters,verified public domain,reviewed,Use with discernment; OCR spot-check needed; character studies,"Public-domain Bible character study resource for Sunday School, sermon preparation, and Study Workspace people profiles."
Who's Who in the Bible,Edgar Fletcher-Allen,https://archive.org/download/whoswhoinbibledi00flet/whoswhoinbibledi00flet_djvu.txt,Bible study helps,Bible Characters,verified public domain,reviewed,Use with discernment; OCR spot-check needed; reference work,"Public-domain directory of Bible people for People Explorer, Passage Guide, and Bible Background Center. Spot-check OCR before quotation."
Heroes of the Bible,William Spencer Edwards,https://archive.org/download/heroesbibleorsk00edwagoog/heroesbibleorsk00edwagoog_djvu.txt,Bible study helps,Bible Characters,verified public domain,reviewed,Use with discernment; OCR spot-check needed; character studies,"Public-domain Scripture character sketches for teaching, family lessons, and sermon illustrations. Spot-check OCR before quotation."
Elements of Religious Pedagogy,Fred Lewis Pattee,https://archive.org/download/elementsofreligi00patt/elementsofreligi00patt_djvu.txt,Preaching & Teaching,Sunday School Teaching,verified public domain,reviewed,Use with discernment; OCR spot-check needed; teacher training,"Public-domain teaching-method resource for Sunday School teachers and lesson preparation. Use as historical pedagogy, not as Scripture authority."
Methods with Beginners,Frances Weld Danielson,https://archive.org/download/methodswithbegin01dani/methodswithbegin01dani_djvu.txt,Preaching & Teaching,Sunday School Teaching,verified public domain,reviewed,Use with discernment; OCR spot-check needed; teacher training,"Public-domain Sunday School teacher-training resource for children's ministry and beginner classes. Spot-check OCR before quotation."
A Brief Bible History: A Survey of the Old and New Testaments,James Oscar Boyd and J. Gresham Machen,https://archive.org/download/briefbiblehistor00boyd/briefbiblehistor00boyd_djvu.txt,Bible Survey / Whole Bible / Commentary Helps,Bible Survey,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical Bible survey,"Public-domain Bible survey useful for new believers, Sunday School, and whole-Bible overview paths. Spot-check OCR before quotation."
Bible Lands Illustrated,H. C. Fish,https://archive.org/download/bible_lands_illustrated_1876-henry_c_fish/bible_lands_illustrated_1876-henry_c_fish_djvu.txt,Bible Handbooks,Bible Geography,verified public domain,reviewed,Use with discernment; OCR spot-check needed; image extraction pending,"Public-domain Bible lands handbook for geography, places, maps, and presentation visuals. Extract images only after rights/source metadata review."
Palestine and the Bible,Samuel Schor,https://archive.org/download/palestinebibleil00schoiala/palestinebibleil00schoiala_djvu.txt,Bible Handbooks,Bible Manners and Customs,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical customs,"Public-domain Bible lands manners and customs resource for Bible Background Center and Passage Guide. Spot-check OCR before quotation."
Bible Lands: Their Modern Customs and Manners Illustrative of Scripture,Henry J. Van-Lennep,https://archive.org/download/biblelandstheirm0032vanl/biblelandstheirm0032vanl_djvu.txt,Bible Handbooks,Bible Manners and Customs,verified public domain,reviewed,Use with discernment; OCR spot-check needed; historical customs,"Public-domain Bible customs and geography resource for teaching background and place profiles. Spot-check OCR before quotation."
Hand-Book of Bible Manners and Customs,James M. Freeman,https://archive.org/download/handbookofbiblem0000revj_l5d1/handbookofbiblem0000revj_l5d1_djvu.txt,Bible Handbooks,Bible Manners and Customs,verified public domain,reviewed,Use with discernment; OCR spot-check needed; customs reference,"Public-domain Bible manners and customs reference for Passage Guide, Study Workspace, and sermon background notes."
A Treasure of Hymns,Amos R. Wells,https://archive.org/download/treasurehy00well/treasurehy00well_djvu.txt,Preaching & Teaching,Hymns and Poems,verified public domain,reviewed,Use with discernment; OCR spot-check needed; hymn history,"Public-domain hymn-writer and hymn-history resource for worship, sermon illustrations, author profiles, and devotional reading."
Hymn-Writers and Their Hymns,S. W. Christophers,https://archive.org/download/hytheir00chri/hytheir00chri_djvu.txt,Preaching & Teaching,Hymns and Poems,verified public domain,reviewed,Use with discernment; OCR spot-check needed; hymn history,"Public-domain hymn history and hymn-writer reference for quotes, stories, worship background, and teaching."
Sermon Illustrations from the Bible,Keith L. Brooks,https://archive.org/download/sermonillustrati00broorich/sermonillustrati00broorich_djvu.txt,Preaching & Teaching,Sermon Illustrations,verified public domain,reviewed,Use with discernment; OCR spot-check needed; illustration source,"Public-domain sermon illustration source arranged from the Bible. Useful for Sermon Builder and preaching helps after OCR spot-check."
My Sermon Notes: Matthew to Acts,C. H. Spurgeon,https://archive.org/download/mysermonnotes00spuruoft/mysermonnotes00spuruoft_djvu.txt,Preaching & Teaching,Spurgeon Collection,verified public domain,reviewed,Use with discernment; OCR spot-check needed; sermon outlines and illustrations,"Public-domain Spurgeon sermon notes for sermon preparation, outlines, anecdotes, and illustration discovery. Spot-check OCR before quotation."
