title,creator,kind,category,source_platform,source_url,rights_status,rights_evidence,priority,recommended_use,planned_storage_path,next_action
"Expository Thoughts on the Gospels - St. Luke Vol. 2","J. C. Ryle","Commentary Audio","Commentary / Gospels","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-luke-vol-2-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","Luke study and commentary listening.","audio/commentary/ryle/expository-thoughts-luke-vol-2/","Map to remaining Luke sections."
"Expository Thoughts on the Gospels - St. John Vol. 1","J. C. Ryle","Commentary Audio","Commentary / John","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-john-vol-1-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","John study, sermon prep, and commentary listening.","audio/commentary/ryle/expository-thoughts-john-vol-1/","Map sections to John 1-6/7 range."
"Expository Thoughts on the Gospels - St. John Vol. 2","J. C. Ryle","Commentary Audio","Commentary / John","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-john-vol-2-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","John study, sermon prep, and commentary listening.","audio/commentary/ryle/expository-thoughts-john-vol-2/","Map sections to middle John range."
"Expository Thoughts on the Gospels - St. John Vol. 3","J. C. Ryle","Commentary Audio","Commentary / John","LibriVox","https://librivox.org/expository-thoughts-on-the-gospels-st-john-vol-3-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 1","John study, sermon prep, and commentary listening.","audio/commentary/ryle/expository-thoughts-john-vol-3/","Map sections to John 17-21 range."
"Old Paths","J. C. Ryle","Audiobook","Doctrine / Christian Living","LibriVox","https://librivox.org/old-paths-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 2","Doctrine and Christian living audiobook.","audio/audiobooks/ryle/old-paths/","Download and connect to Ryle collection."
"The Two Bears and Other Sermons for Children","J. C. Ryle","Sermon Audio","Children / Teaching","LibriVox","https://librivox.org/the-two-bears-and-other-sermons-for-children-by-j-c-ryle/","Public Domain - USA","LibriVox recording; Ryle text is public domain in the USA.","Tier 2","Family and children teaching shelf.","audio/sermons/ryle/two-bears-and-other-sermons/","Review tone and label as historical children's sermons."
"Prevailing Prayer","D. L. Moody","Audiobook","Prayer","LibriVox","https://librivox.org/prevailing-prayer-by-dwight-l-moody/","Public Domain - USA","LibriVox recording; Moody text is public domain in the USA.","Tier 1","Prayer path and daily growth listening.","audio/audiobooks/moody/prevailing-prayer/","Download and connect to Prayer collection."
"Gospel Dialogues","D. L. Moody","Audiobook","Evangelism","LibriVox","https://librivox.org/gospel-dialogues-by-dwight-l-moody/","Public Domain - USA","LibriVox recording; Moody text is public domain in the USA.","Tier 2","Evangelism and gospel conversation path.","audio/audiobooks/moody/gospel-dialogues/","Download after first Moody pilot."
"Sowing and Reaping","D. L. Moody","Audiobook","Christian Living","LibriVox","https://librivox.org/sowing-and-reaping-by-dwight-l-moody/","Public Domain - USA","LibriVox recording; Moody text is public domain in the USA.","Tier 2","Christian living audiobook.","audio/audiobooks/moody/sowing-and-reaping/","Download and connect to Moody collection."
"The Essentials of Prayer","E. M. Bounds","Audiobook","Prayer","LibriVox","https://librivox.org/the-essentials-of-prayer-by-edward-m-bounds/","Public Domain - USA","LibriVox recording; Bounds text is public domain in the USA.","Tier 1","Prayer module companion and prayer reading path.","audio/audiobooks/bounds/essentials-of-prayer/","Download as first Bounds audio pilot."
"The Spirit of Christ","Andrew Murray","Audiobook","Holy Spirit / Christian Living","LibriVox","https://librivox.org/the-spirit-of-christ-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 2","Christian living and Holy Spirit study path.","audio/audiobooks/murray/spirit-of-christ/","Download and connect to Murray collection."
"Holy in Christ","Andrew Murray","Audiobook","Holiness","LibriVox","https://librivox.org/holy-in-christ-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 2","Holiness theme path.","audio/audiobooks/murray/holy-in-christ/","Download and connect to Murray collection."
"Divine Healing","Andrew Murray","Audiobook","Christian Living","LibriVox","https://librivox.org/divine-healing-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 3","Historical theology; use with discernment label recommended.","audio/audiobooks/murray/divine-healing/","Review doctrinal note before public display."
"The Spiritual Life","Andrew Murray","Audiobook","Christian Living","LibriVox","https://librivox.org/the-spiritual-life-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 2","Daily growth and Christian living path.","audio/audiobooks/murray/spiritual-life/","Download and connect to daily growth path."
"With Christ in the School of Prayer","Andrew Murray","Audiobook","Prayer","LibriVox","https://librivox.org/with-christ-in-the-school-of-prayer-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 1","Prayer module companion and prayer reading path.","audio/audiobooks/murray/with-christ-in-the-school-of-prayer/","Download as high-value prayer audio."
"The School of Obedience","Andrew Murray","Audiobook","Discipleship","LibriVox","https://librivox.org/the-school-of-obedience-by-andrew-murray/","Public Domain - USA","LibriVox recording; Murray text is public domain in the USA.","Tier 2","Discipleship and obedience theme path.","audio/audiobooks/murray/school-of-obedience/","Download and connect to Murray collection."
"How to Pray","R. A. Torrey","Audiobook","Prayer","LibriVox","https://librivox.org/how-to-pray-by-reuben-archer-torrey/","Public Domain - USA","LibriVox recording; Torrey text is public domain in the USA.","Tier 1","Practical prayer audio for new believers and teachers.","audio/audiobooks/torrey/how-to-pray/","Download and connect to Prayer path."
"The Person and Work of the Holy Spirit","R. A. Torrey","Audiobook","Doctrine / Holy Spirit","LibriVox","https://librivox.org/the-holy-spirit-by-reuben-archer-torrey/","Public Domain - USA","LibriVox recording; Torrey text is public domain in the USA.","Tier 1","Doctrine and teaching audio.","audio/audiobooks/torrey/person-and-work-of-the-holy-spirit/","Download and connect to doctrine path."
"The Fundamental Doctrines of the Christian Faith","R. A. Torrey","Audiobook","Doctrine","LibriVox","https://librivox.org/the-fundamental-doctrines-of-the-christian-faith-by-reuben-archer-torrey/","Public Domain - USA","LibriVox recording; Torrey text is public domain in the USA.","Tier 1","Doctrine path and teaching resource.","audio/audiobooks/torrey/fundamental-doctrines-of-the-christian-faith/","Download and connect to Bible doctrine path."
"Revival Addresses","R. A. Torrey","Sermon Audio","Revival / Evangelism","LibriVox","https://librivox.org/revival-addresses-by-reuben-archer-torrey/","Public Domain - USA","LibriVox recording; Torrey text is public domain in the USA.","Tier 2","Revival and evangelism sermon audio.","audio/sermons/torrey/revival-addresses/","Download and preserve address titles."
"Anecdotes and Illustrations","R. A. Torrey","Audiobook","Illustrations / Preaching","LibriVox","https://librivox.org/anecdotes-and-illustrations-by-reuben-archer-torrey/","Public Domain - USA","LibriVox recording; Torrey text is public domain in the USA.","Tier 2","Illustration capture while listening; preaching help.","audio/audiobooks/torrey/anecdotes-and-illustrations/","Download and connect to illustration library."
"The Pilgrim's Progress","John Bunyan","Audiobook","Christian Classics","LibriVox","https://librivox.org/the-pilgrims-progress-by-john-bunyan/","Public Domain - USA","LibriVox recording; Bunyan text is public domain in the USA.","Tier 1","Christian Classics listening path.","audio/audiobooks/bunyan/pilgrims-progress/","Download and connect to existing Bunyan resource."
"The Holy War","John Bunyan","Audiobook","Christian Classics","LibriVox","https://librivox.org/holy-war-by-john-bunyan/","Public Domain - USA","LibriVox recording; Bunyan text is public domain in the USA.","Tier 2","Christian allegory listening path.","audio/audiobooks/bunyan/holy-war/","Download and connect to Bunyan collection."
"Foxe's Book of Martyrs, Vol. 1","John Foxe","Audiobook","Church History / Martyrs","LibriVox","https://librivox.org/foxes-book-of-martyrs-vol-1/","Public Domain - USA","LibriVox recording; Foxe text editions are public domain in the USA, exact edition should remain attached.","Tier 1","Church history and martyrs path.","audio/audiobooks/foxe/book-of-martyrs-vol-1/","Review edition and add historical value / use with discernment labels."
"Foxe's Book of Martyrs, Vol. 2","John Foxe","Audiobook","Church History / Martyrs","LibriVox","https://librivox.org/foxes-book-of-martyrs-vol-2/","Public Domain - USA","LibriVox recording; Foxe text editions are public domain in the USA, exact edition should remain attached.","Tier 1","Church history and martyrs path.","audio/audiobooks/foxe/book-of-martyrs-vol-2/","Review edition and add historical value / use with discernment labels."
"A Retrospect","J. Hudson Taylor","Audiobook","Missions / Biography","LibriVox","https://librivox.org/a-retrospect-by-j-hudson-taylor/","Public Domain - USA","LibriVox recording; Hudson Taylor text is public domain in the USA.","Tier 1","Missions biography listening path.","audio/audiobooks/hudson-taylor/a-retrospect/","Download and connect to Missions path."
"Union and Communion; or, Thoughts on the Song of Solomon","J. Hudson Taylor","Audiobook","Devotional / Missions","LibriVox","https://librivox.org/union-and-communion-or-thoughts-on-the-song-of-solomon-by-j-hudson-taylor/","Public Domain - USA","LibriVox recording; Hudson Taylor text is public domain in the USA.","Tier 2","Devotional and Song of Solomon related resource.","audio/audiobooks/hudson-taylor/union-and-communion/","Review doctrinal/perspective notes before public display."
"Practical Religion","J. C. Ryle","Audiobook","Christian Living","LibriVox","https://librivox.org/practical-religion-by-j-c-ryle/","Public Domain - USA","LibriVox catalog page presents the recording as public domain in the USA; Ryle text is public domain in the USA.","Tier 1","Daily growth and practical Christian living audiobook.","audio/audiobooks/ryle/practical-religion/","Verify matching text edition, upload to R2, and connect to Daily Growth recommendations."
"The Shepherd Psalm","F. B. Meyer","Audiobook","Psalms / Devotional","LibriVox","https://librivox.org/the-shepherd-psalm-by-frederick-brotherton-meyer/","Public Domain - USA","LibriVox recording; Meyer text is public domain in the USA.","Tier 1","Short Psalm 23 devotional listening and Shepherd theme companion.","audio/audiobooks/meyer/the-shepherd-psalm/","Verify text edition and connect to Psalms and Shepherd theme."
"George Müller of Bristol","Arthur T. Pierson","Audiobook","Prayer / Biography","LibriVox","https://librivox.org/george-mueller-of-bristol-by-arthur-t-pierson/","Public Domain - USA","LibriVox recording; Pierson/Müller biographical text is public domain in the USA.","Tier 1","Faith, prayer, and biography listening path.","audio/audiobooks/biography/george-muller-of-bristol/","Verify text slug, upload audio, connect to Prayer/Faith reading paths."
"Lives of the Three Mrs. Judsons","Arabella M. Willson","Audiobook","Missions / Biography","LibriVox","https://librivox.org/lives-of-the-three-mrs-judsons-by-arabella-m-willson/","Public Domain - USA","LibriVox recording is public domain in the USA; source work requires edition check before public display.","Tier 1","Missionary biography and Judson missions history.","audio/audiobooks/missions/lives-of-the-three-mrs-judsons/","Verify edition, upload audio, connect to Missions collection."
"The Book of Missionary Heroes","Basil Joseph Mathews","Audiobook","Missions / Biography","LibriVox","https://librivox.org/the-book-of-missionary-heroes-by-basil-joseph-mathews/","Public Domain - USA","LibriVox recording is public domain in the USA; source work requires edition check before public display.","Tier 1","Missionary courage, biography, and illustration material.","audio/audiobooks/missions/the-book-of-missionary-heroes/","Verify edition, upload audio, connect to Missions path."
"The Life of David Brainerd","Jonathan Edwards / John Styles","Audiobook","Missions / Biography","LibriVox","https://librivox.org/the-life-of-david-brainerd-by-john-styles/","Public Domain - USA","LibriVox recording is public domain in the USA; abridged source should be labeled.","Tier 2","Missionary biography and devotional burden.","audio/audiobooks/missions/the-life-of-david-brainerd/","Verify abridgment and add historical/devotional labels."
